CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL3593278	1951871	CHEMBL3594552	1953157		21	484.62	5.67	68.72	1	[I-].CCN1\C(=C\C=C\c2sc3ccccc3[n+]2CC)\Sc4ccc(OCCCO[N+](=O)[O-])cc14	15649676	IC50	=	7700	nM	5.11	IC50	=	7.7	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1505359	CHEMBL3595185	B	Inhibition of Amyloid beta (1 to 42) (unknown origin) aggregation assessed as amount of fibrils formation after 2 hrs by thioflavin T based spectrofluorimetric method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			92807	CHEMBL3593200	26078011	Bioorg. Med. Chem.	2015	23	15	4688					
CHEMBL3330744	1789743	CHEMBL3330744	1789743		E7	537.67	8.99	76.6	2	N#CC(=Cc1ccc(s1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26)C#N	14999898	IC50	>	10000	nM		IC50	>	10	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1459447	CHEMBL3368553	B	Inhibition of amyloid beta (1-42) aggregation (unknown origin) after 24 hrs by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			90659	CHEMBL3352213	25086914	Eur. J. Med. Chem.	2014	85		228					
CHEMBL2402075	1569662	CHEMBL2402075	1569662		9b	432.56	6.26	62.75	1	COc1cc(OC)cc(\C=C\c2ccc(NCc3cc(NCC(C)C)ccc3O)cc2)c1	13378589	IC50	=	10320	nM	4.99	IC50	=	10.32	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	969908	CHEMBL2404861	B	Inhibition of self-mediated amyloid beta (1 to 42) aggregation (unknown origin) after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74250	CHEMBL2401626	23799643	J. Med. Chem.	2013	56	14	5843					
CHEMBL74874	118468	CHEMBL74874	118468		5	327.88	3.83	46.17	0	CC1(C)[C@H]2CCC(C)(C2)[C@H]1NS(=O)(=O)c3ccc(Cl)cc3	368887	IC50	=	11000	nM	4.96	IC50	=	11	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	68889	CHEMBL678443	B	Inhibition of A-beta-42 production by inhibiting Gamma-secretase proteolytic pathway in HEK293 cell stably transfected with a double mutant form of human APP(K595N/M596L)	1	Scientific Literature				Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			15476	CHEMBL1133739	10882355	J. Med. Chem.	2000	43	12	2297	722	CHEMBL3307715	HEK293		
CHEMBL2436691	1585843	CHEMBL2436691	1585843		13t	556.71	5.12	80.07	2	COc1cc(OCCCN2CCN(CCCNc3c4CCCCc4nc5ccccc35)CC2)cc6OC=CC(=O)c16	13487356	IC50	=	12600	nM	4.9	IC50	=	12.6	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	986881	CHEMBL2438745	B	Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			75216	CHEMBL2434826	24095756	Eur. J. Med. Chem.	2013	69		632					
CHEMBL2408098	1572508	CHEMBL2408098	1572508		4a	351.4	3.53	66.84	0	COc1ccc(C(=O)\C=C\c2ccc(cc2)C(=O)N3CCCC3)c(O)c1	13394770	IC50	=	14600	nM	4.84	IC50	=	14.6	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	974299	CHEMBL2411729	B	Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) after 5 days by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74341	CHEMBL2406947	23786711	Eur. J. Med. Chem.	2013	66		22					
CHEMBL2436699	1585851	CHEMBL2436699	1585851		13g	602.78	6.78	70.84	2	O=C1C=C(Oc2cc(OCCCN3CCN(CCCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7	13487369	IC50	=	14900	nM	4.83	IC50	=	14.9	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	986881	CHEMBL2438745	B	Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			75216	CHEMBL2434826	24095756	Eur. J. Med. Chem.	2013	69		632					
CHEMBL3814610	2089542	CHEMBL3814610	2089542		4n	264.33	2.87	63.83	0	Nc1nc(NCCc2ccccc2)nc3ccccc13	16609294	IC50	=	14900	nM	4.83	IC50	=	14.9	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582046	CHEMBL3817084	B	Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL2408104	1572514	CHEMBL2408104	1572514		4g	465.63	6.95	75.63	1	CCCCCCCCCCCCNC(=O)c1ccc(\C=C\C(=O)c2ccc(OC)cc2O)cc1	13394764	IC50	=	15900	nM	4.8	IC50	=	15.9	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	974299	CHEMBL2411729	B	Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) after 5 days by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74341	CHEMBL2406947	23786711	Eur. J. Med. Chem.	2013	66		22					
CHEMBL2436693	1585845	CHEMBL2436693	1585845		13a	574.73	6	70.84	2	O=C1C=C(Oc2cc(OCCN3CCN(CCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7	13487375	IC50	=	16800	nM	4.78	IC50	=	16.8	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	986881	CHEMBL2438745	B	Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			75216	CHEMBL2434826	24095756	Eur. J. Med. Chem.	2013	69		632					
CHEMBL2408102	1572512	CHEMBL2408102	1572512		4e	339.39	3.44	75.63	0	COc1ccc(C(=O)\C=C\c2ccc(cc2)C(=O)NC(C)C)c(O)c1	13394766	IC50	=	17800	nM	4.75	IC50	=	17.8	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	974299	CHEMBL2411729	B	Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) after 5 days by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74341	CHEMBL2406947	23786711	Eur. J. Med. Chem.	2013	66		22					
CHEMBL3741747	2053026	CHEMBL3741747	2053026		22	365.44	5.41	37.6	1	CC1=NN(C(=O)C1)c2ccc(cc2)n3c(cc4ccccc34)c5ccccc5	16407778	IC50	=	19600	nM	4.71	IC50	=	19.6	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1540610	CHEMBL3744471	B	Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97526	CHEMBL3739287	26598460	Bioorg. Med. Chem. Lett.	2016	26	1	100					
CHEMBL245476	412945	CHEMBL245476	412945		II-11	481.39	6.82	36.92	1	COc1ccc(\C=C\c2cc(Br)cc(\C=C\c3ccc(OC)c(OC)c3)c2)cc1OC	2021306	IC50	=	20000	nM	4.7	IC50	=	20	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
CHEMBL3814324	2089532	CHEMBL3814324	2089532		4d	280.33	2.83	73.06	0	COc1cccc(CNc2nc(N)c3ccccc3n2)c1	16609304	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582046	CHEMBL3817084	B	Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL3814383	2089520	CHEMBL3814383	2089520		3h	284.75	3.48	63.83	0	Nc1nc(NCc2cccc(Cl)c2)c3ccccc3n1	16609281	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582047	CHEMBL3817085	B	Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL3814660	2089519	CHEMBL3814660	2089519		3g	318.3	3.84	63.83	0	Nc1nc(NCc2ccc(cc2)C(F)(F)F)c3ccccc3n1	16609282	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582047	CHEMBL3817085	B	Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL196945	328307	CHEMBL196945	328307		11c	325.17	4.92	37.3	0	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(Cl)c(Cl)c3	1606111	IC50	=	41000	nM	4.39	IC50	=	41	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	322428	CHEMBL873550	F	Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL382721	328349	CHEMBL382721	328349		13c	356.39	4.17	55.76	0	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(OC4CCOCC4)cc3	1606218	IC50	=	81000	nM	4.09	IC50	=	81	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	321245	CHEMBL881780	B	Concentration required to inhibit A beta 40 peptide	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL416955	47228	CHEMBL416955	47228	CHLOROGENIC ACID METHYL ESTER	Methyl chlorogenic acid	368.34	-.56	153.75	0	COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@@H](C1)OC(=O)\C=C\c2ccc(O)c(O)c2	12042448	IC50	>	100000	nM		IC50	>	100	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	849223	CHEMBL2148592	B	Inhibition of human amyloid beta (1 to 42) aggregation after 24 hrs by thioflavin-T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			65287	CHEMBL2146368	22921742	Bioorg. Med. Chem.	2012	20	19	5844					
CHEMBL372846	328335	CHEMBL372846	328335		16b	366.36	5.12	57.53	1	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(c(F)c3)c4ccc(O)cc4	1606187	IC50	=	111000	nM		IC50	=	111	uM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	321245	CHEMBL881780	B	Concentration required to inhibit A beta 40 peptide	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL190083	317540	CHEMBL190083	317540	TARENFLURBIL	Flurbiprofen (R-enantiomer)	244.26	3.68	37.3	0	C[C@@H](C(=O)O)c1ccc(c(F)c1)c2ccccc2	1606539	IC50	=	280000	nM		IC50	=	280	uM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	322428	CHEMBL873550	F	Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL3740157	2053008	CHEMBL3740157	2053008		4	188.23	2.11	32.67	0	CC1=NN(C(=O)C1)c2ccc(C)cc2	16407827	IC50					IC50				Not Determined		0	BAO_0000190			1540610	CHEMBL3744471	B	Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97526	CHEMBL3739287	26598460	Bioorg. Med. Chem. Lett.	2016	26	1	100					
CHEMBL3742311	2053007	CHEMBL3742311	2053007		3	188.23	2.11	32.67	0	CC1=NN(C(=O)C1)c2cccc(C)c2	16408713	IC50					IC50				Not Determined		0	BAO_0000190			1540610	CHEMBL3744471	B	Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97526	CHEMBL3739287	26598460	Bioorg. Med. Chem. Lett.	2016	26	1	100					
CHEMBL3893021	2102392	CHEMBL3893021	2102392		BDBM155100	363.51	3.81	59.97	0	CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(cc3[C@@]24N=C(C)C(=N4)N)C#CC(C)C	17678251	IC50	=	.7	nM	9.15	IC50	=	.7	nM	297421		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528817	CHEMBL3705693	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94819	CHEMBL3638804			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL3937398	2146769	CHEMBL3937398	2146769		BDBM155147	367.49	3.59	69.2	0	CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC4CC4)cc3[C@@]25N=C(C)C(=N5)N	17678322	IC50	=	.9	nM	9.05	IC50	=	.9	nM	297492		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528825	CHEMBL3705769	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94822	CHEMBL3638992			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL3900140	2109511	CHEMBL3900140	2109511		BDBM200311	571.02	3.74	112.52	1	Fc1ccc(F)c2c1OCC3[C@H](CCS(=O)(=O)c4ccncn4)OCC[C@@]23S(=O)(=O)c5ccc(Cl)cc5	17732035	IC50	=	2.9	nM	8.54	IC50	=	2.9	nM	356372		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1641096	CHEMBL3887819	B	Electrochemiluminescence (ECL)-based Immunoassay: To measure γ-secretase activity, membranes were incubated at 37° C. for 1 h in 50 μL of buffer containing 20 mM Hepes (pH 7.0) and 2 mM EDTA. At the end of the incubation, Aβ 40 and Aβ 42 were measured using an electrochemiluminescence (ECL)-based immunoassay. Aβ 40 was identified with antibody pairs TAG-G2-10 and biotin-W02, while Aβ 42 was identified with TAG-G2-11 and biotin-4G8. The ECL signal was measured using an ECL-M8 instrument (IGEN International, Inc.) according to the manufacturer's instructions.	37	BindingDB Database	Homo sapiens			Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	8	Homologous protein			102845	CHEMBL3886460			2016								
CHEMBL392144	402139	CHEMBL392144	402139		rac-23	499.07	4.57	87.15	0	CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCC(O)(CC)CC4	1983167	IC50	=	3.2	nM	8.49	IC50	=	3.2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449193	CHEMBL899458	B	Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL236182	402142	CHEMBL236182	402142		rac-26	514.09	3.33	90.39	1	CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCO)[C@@H](C)C4	1983206	IC50	=	10	nM	8	IC50	=	10	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449195	CHEMBL899460	B	Inhibition of gamma-secretase assessed as reduction of cell A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL236183	402144	CHEMBL236183	402144		rac-28	514.09	3.33	90.39	1	CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCCO)CC4	1983204	IC50	=	15	nM	7.82	IC50	=	15	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449195	CHEMBL899460	B	Inhibition of gamma-secretase assessed as reduction of cell A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL205907	345777	CHEMBL205907	345777		60	506.69	4.99	104.53	1	CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3ccccc3)c2)C1=O)C(=O)N	1710366	IC50	=	15	nM	7.82	IC50	=	15	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	350088	CHEMBL865069	F	Inhibition of beta-amyloid peptide production in CHO N9 cell line	1	Scientific Literature				Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			31064	CHEMBL1147000	16473009	Bioorg. Med. Chem. Lett.	2006	16	9	2357					
CHEMBL3672729	2005753	CHEMBL3672729	2005753		BDBM155139	374.88	4.59	74.53	0	CC1=NC2(N=C1N)c3cc(ccc3CCC24CC4)c5cc(Cl)cc(c5)C#N	15872130	IC50	=	16	nM	7.8	IC50	=	16	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528822	CHEMBL3705766	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94821	CHEMBL3638386			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL240284	402119	CHEMBL240284	402119		rac-19	541.02	4.64	87.15	1	O[C@@H]1CCN(C1)C(=O)OC2(CC2)[C@H]3CCC[C@H](N3S(=O)(=O)c4ccc(Cl)cc4)c5cc(F)cc(F)c5	1983130	IC50	=	17	nM	7.77	IC50	=	17	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449193	CHEMBL899458	B	Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
CHEMBL240069	402116	CHEMBL240069	402116		rac-16	512.07	2.94	90.39	1	OCCN1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c5ccc(Cl)cc5	1983133	IC50	=	27	nM	7.57	IC50	=	27	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	449193	CHEMBL899458	B	Inhibition of gamma-secretase assessed as reduction of membrane A-beta-40 level	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			36979	CHEMBL1137438	17761417	Bioorg. Med. Chem. Lett.	2007	17	19	5330					
